#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_tool: "https://github.com/cmungall/rdf_matcher"
#mapping_date: "2021-02-24"
#curie_map:
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  external_resource: "http://example.org/external_resource/"
#  oio: "http://www.geneontology.org/formats/oboInOwl#"
#  owl: "http://www.w3.org/2002/07/owl#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	match_category	comment
external_resource:lignin_degradation	lignin_degradation	owl:equivalentClass	GO:0046274	lignin catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	lignin_degradation	biological_process	degradationlignin	unique	.
external_resource:'hydrocarbon_degradation, hydrocarbon_degradation'	'hydrocarbon_degradation, hydrocarbon_degradation'	owl:equivalentClass	GO:0120253	hydrocarbon catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	'hydrocarbon_degradation, hydrocarbon_degradation'	biological_process	degradationhydrocarbon	many_to_one	.
external_resource:methanogenesis	methanogenesis	owl:equivalentClass	GO:0015948	methanogenesis	Lexical|Stemming	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	methanogenesis	biological_process	methanogenesi	unique	.
external_resource:methanogenesis	methanogenesis	owl:equivalentClass	GO:0015948	methanogenesis	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	methanogenesis	biological_process	methanogenesis	unique	.
external_resource:methanogenesis	methanogenesis	owl:equivalentClass	GO:0015948	methanogenesis	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	methanogenesis	biological_process	methanogenesis	unique	.
external_resource:xylan_degradation	xylan_degradation	owl:equivalentClass	GO:0045493	xylan catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	xylan_degradation	biological_process	degradationxylan	unique	.
external_resource:nitrogen_fixation	nitrogen_fixation	owl:equivalentClass	GO:0009399	nitrogen fixation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	nitrogen_fixation	biological_process	fixationnitrogen	many_to_one	.
external_resource:sulfate_reduction	sulfate_reduction	owl:equivalentClass	GO:0019419	sulfate reduction	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	sulfate_reduction	biological_process	reductionsulfate	unique	.
external_resource:fermentation	fermentation	owl:equivalentClass	GO:0006113	fermentation	Lexical|Stemming	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	fermentation	biological_process	ferment	unique	.
external_resource:fermentation	fermentation	owl:equivalentClass	GO:0006113	fermentation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	fermentation	biological_process	fermentation	unique	.
external_resource:fermentation	fermentation	owl:equivalentClass	GO:0006113	fermentation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	fermentation	biological_process	fermentation	unique	.
external_resource:chitin_degradation	chitin_degradation	owl:equivalentClass	GO:0006032	chitin catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	chitin_degradation	biological_process	chitindegradation	unique	.
external_resource:aromatic_compound_degradation	aromatic_compound_degradation	owl:equivalentClass	GO:0019439	aromatic compound catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	aromatic_compound_degradation	biological_process	aromaticcompounddegradation	unique	.
external_resource:cellulose_degradation	cellulose_degradation	owl:equivalentClass	GO:0030245	cellulose catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	cellulose_degradation	biological_process	cellulosedegradation	unique	.
external_resource:hydrocarbon_degradation	hydrocarbon_degradation	owl:equivalentClass	GO:0120253	hydrocarbon catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	hydrocarbon_degradation	biological_process	degradationhydrocarbon	many_to_one	.
external_resource:sulfur_oxidation	sulfur_oxidation	owl:equivalentClass	GO:0019417	sulfur oxidation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	sulfur_oxidation	biological_process	oxidationsulfur	unique	.
external_resource:urea_degradation	urea_degradation	owl:equivalentClass	GO:0043419	urea catabolic process	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	urea_degradation	biological_process	degradationurea	unique	.
external_resource:methanol_oxidation	methanol_oxidation	owl:equivalentClass	GO:0015946	methanol oxidation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	methanol_oxidation	biological_process	methanoloxidation	unique	.
external_resource:autotrophy	autotrophy	owl:equivalentClass	GO:0015977	carbon fixation	Lexical|Stemming	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	autotrophy	biological_process	autotrophi	unique	.
external_resource:autotrophy	autotrophy	owl:equivalentClass	GO:0015977	carbon fixation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	autotrophy	biological_process	autotrophy	unique	.
external_resource:autotrophy	autotrophy	owl:equivalentClass	GO:0015977	carbon fixation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasExactSynonym	autotrophy	biological_process	autotrophy	unique	.
external_resource:sulfide_oxidation	sulfide_oxidation	owl:equivalentClass	GO:0019418	sulfide oxidation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	sulfide_oxidation	biological_process	oxidationsulfide	unique	.
external_resource:hydrogen_oxidation	hydrogen_oxidation	owl:equivalentClass	GO:0019412	aerobic respiration, using hydrogen as electron donor	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasBroadSynonym	hydrogen_oxidation	biological_process	hydrogenoxidation	unique	.
external_resource:nitrite_oxidation	nitrite_oxidation	owl:equivalentClass	GO:0019332	aerobic respiration, using nitrite as electron donor	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	oio:hasBroadSynonym	nitrite_oxidation	biological_process	nitriteoxidation	unique	.
external_resource:'nitrogen_fixation, nitrogen_fixation'	'nitrogen_fixation, nitrogen_fixation'	owl:equivalentClass	GO:0009399	nitrogen fixation	Lexical	external_resource	GO	rdf_matcher	0.5	rdfs:label	rdfs:label	'nitrogen_fixation, nitrogen_fixation'	biological_process	fixationnitrogen	many_to_one	.
external_resource:'"subject_label'	'"subject_label'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'"subject_label'	.	.	.	no match found
external_resource:'cellulose_degradation, heterotrophic'	'cellulose_degradation, heterotrophic'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'cellulose_degradation, heterotrophic'	.	.	.	no match found
external_resource:dithionite_disproportionation	dithionite_disproportionation	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	dithionite_disproportionation	.	.	.	no match found
external_resource:thiocyanate_oxidation	thiocyanate_oxidation	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	thiocyanate_oxidation	.	.	.	no match found
external_resource:'cellulose_degradation, chitin_degradation'	'cellulose_degradation, chitin_degradation'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'cellulose_degradation, chitin_degradation'	.	.	.	no match found
external_resource:gelatin_degradation	gelatin_degradation	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	gelatin_degradation	.	.	.	no match found
external_resource:thiocyanate_reduction	thiocyanate_reduction	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	thiocyanate_reduction	.	.	.	no match found
external_resource:'sulfur_oxidation, denitrification'	'sulfur_oxidation, denitrification'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'sulfur_oxidation, denitrification'	.	.	.	no match found
external_resource:'cellulose_degradation, fermentation'	'cellulose_degradation, fermentation'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'cellulose_degradation, fermentation'	.	.	.	no match found
external_resource:'thiosulfate_oxidation, denitrification'	'thiosulfate_oxidation, denitrification'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'thiosulfate_oxidation, denitrification'	.	.	.	no match found
external_resource:'iron_oxidation, sulfide_oxidation'	'iron_oxidation, sulfide_oxidation'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'iron_oxidation, sulfide_oxidation'	.	.	.	no match found
external_resource:sulfur_compound_oxidation_dark	sulfur_compound_oxidation_dark	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	sulfur_compound_oxidation_dark	.	.	.	no match found
external_resource:'sulfide_oxidation, denitrification'	'sulfide_oxidation, denitrification'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'sulfide_oxidation, denitrification'	.	.	.	no match found
external_resource:'Selenate_reduction'	'Selenate_reduction'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'Selenate_reduction'	.	.	.	no match found
external_resource:'cellulose_degradation, nitrogen_fixation'	'cellulose_degradation, nitrogen_fixation'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'cellulose_degradation, nitrogen_fixation'	.	.	.	no match found
external_resource:carbonmonoxide_oxidation	carbonmonoxide_oxidation	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	carbonmonoxide_oxidation	.	.	.	no match found
external_resource:'sulfur_oxidation, iron_reduction'	'sulfur_oxidation, iron_reduction'	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	'sulfur_oxidation, iron_reduction'	.	.	.	no match found
external_resource:aminoacid_degradation	aminoacid_degradation	noMatch	:NO_MATCH	.	Lexical	external_resource	GO	rdf_matcher	0.5	.	.	aminoacid_degradation	.	.	.	no match found
